"Category","Total"
Afganistán,2567611.97
Albania,2404524.4
Argelia,1656128960.4
Samoa Americana,345669.5
Andorra,39691.11
Angola,221635711.86
Antigua y Barbuda,598713.42
Azerbaiján,10832590.43
Australia,588849133.86
Austria,15164896.55
Bahamas,1709654.23
Bahrein,15817628.98
Bangladesh,442617211.12
Armenia,4123754.74
Barbados,3513491.29
Bélgica,465102302
Bolivia,757408840.99
Bosnia y Herzegovina,10616712.12
Botswana,1486.3
Belice,415467.02
Salomón, Islas,41051.54
Brunei Darussalam,86727.41
Bulgaria,108936959.44
Myanmar,468242.03
Burundi,670265.1
Bielorrusia,6642485.68
Camboya,14627886.19
Camerún, República Unida del,43033898.03
Canadá,2383290560.2
Cabo Verde,8497418.74
República Centroafricana,97500
Sri Lanka,3652844.18
Chad,1500085.5
Chile,4772318043.96
China,6033117421.81
Taiwán,173824629.4
Colombia,1806028969.21
Comoras,245616.25
República del Congo,47868656.91
República Democrática del Congo,38971139.63
Costa Rica,139599436.39
Croacia,40906228.86
Cuba,112915897.16
Chipre,32700622.34
República Checa,52316424.61
Benin,5158103.86
Dinamarca,425162686.45
Dominica,413610.61
República Dominicana,232212055.75
Ecuador,484975277.73
El Salvador,14845563.77
Guinea Ecuatorial,18347123.49
Etiopía,987631.25
Estonia,6481730.82
Fiji,459230.92
Finlandia,52345066.06
Francia,575996097.32
Djibouti,10505443
Gabón,8367892.93
Georgia,18152336.89
Gambia,1457703.51
Territorios Autónomos de Palestina,1558573.98
Alemania,2485979752.48
Ghana,19073956.78
Gibraltar,229828.5
Grecia,127886489.77
Granada,611030.31
Guatemala,99655899.95
Guinea,1804416.89
Guyana,1787152.41
Haití,31489335.33
Honduras,24086139.37
Hong Kong,322789530.03
Hungría,12940127.14
Islandia,2291726.81
India,968772909.54
Indonesia,1366928752.25
Irán, República Islámica del,1079425372.59
Irak,61346837.17
Irlanda (Eire),206600927.57
Israel,232870356.06
Italia,1979472331.27
Costa de Marfil,23183983.03
Jamaica,10227614.23
Japón,842992617.45
Kazajistán,18504628.93
Jordania,182121320.66
Kenia,43524217.33
Corea (Sur), República de,972961902.18
Kuwait,25361878.89
Kirguizistán,1562988.21
Laos, República Popular Democrática de,12448.2
Líbano,81590530.76
Letonia,135303906.22
Liberia,4063844.57
Libia,60486872.43
Liechtenstein,58727.97
Lituania,76535427.38
Luxemburgo,1652174.54
Madagascar,4321617.46
Malawi,846723.95
Malasia,973594762.53
Maldivas,206376.92
Malí,13384053.33
Malta,2696285.52
Mauritania,16806617.55
Mauricio,71839838.52
México,921285265.56
Mónaco,99606.95
Mongolia,3240124.9
Moldavia,2532927.8
Montenegro,2260582.66
Marruecos,423891789.02
Mozambique,102058603.18
Omán,59002605.85
Namibia,6320798.7
Nepal,5507077.59
Países Bajos,2548736379.77
Aruba,3879765.95
Vanuatu,178615.23
Nueva Zelanda,87793402.76
Nicaragua,35516543.18
Níger,23478215.38
Nigeria,86543598.15
Noruega,41389631.72
Pakistán,40696871.24
Panamá,169639665.25
Papúa Nueva Guinea,646283.2
Perú,1793980270.78
Filipinas,600748288.78
Polonia,567860474.41
Portugal,118387309.92
Guinea - Bissau,492556.64
Puerto Rico,53281691.27
Qatar,13227786.5
Rumania,59517905.07
Rusia,767586562.07
Ruanda,1523980
San Cristóbal y Nieves,286139.2
Santa Lucía,912860.02
San Vicente y las Granadinas,514920.71
San Marino,228774
Arabia Saudita,626297808.83
Senegal,101972677.62
Serbia,9650860.44
Seychelles,104807.28
Sierra Leona,3888732.35
Singapur,62154079.42
Eslovaquia,3747045.57
Vietnam,680394780.15
Eslovenia,18084217.97
Sudáfrica, República de,1086364633.06
Zimbabwe,6680878.36
España,3041932774.71
Surinam,11606820.18
Suecia,57008362
Suiza,566962441.69
Siria, República Arabe de,386354547.19
Tadjikistán,444422.22
Tailandia,518424354.99
Togo,3183701.92
Trinidad y Tobago,26609490.19
Emiratos Arabes Unidos,337236271.69
Tunicia,283544921.84
Turquía,563695943.87
Turkmenistán,1956832.66
Uganda,8439586.35
Ucrania,85130591.26
Macedonia,5258762.52
Egipto,1707410720.61
Reino Unido,786998201.09
Tanzania, República Unida de,51900835.96
Estados Unidos,4247673764.02
Islas Vírgenes de los Estados Unidos,180872.06
Burkina Faso,1993540.67
Uzbekistán,2382431.3
Venezuela,1867143243.31
Yemen,185563583.2
Zambia,708343.33
N/D,1950415179.39
