Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estados Unidos,3103283620,2824256189,2891973131,3364011854,3722640886,4493053976.09,4025330031.41,4153418984.27,5095475876.94,3474078038.2,3544826287.95,4247673764.02,3978921116.18,4106704989.2,4017987209.66,3393972366.16,4427764196.26,4446675103.41,4192440118.38,4026924837.96,3262797725.67,4921193678.66,6616341326.66
Chile,2674147462,2849376543,2957813069,3537586973,3834624130,4499690950.82,4403814877.06,4180180418.04,4712567976.18,4386656154.99,4493082975.52,4772318043.96,5051833888.29,3823118433.88,2792208417.82,2404533452.03,2306087499.66,2648393034.18,3059189997.8,3043768396.85,2883714205.39,4204882098.8,5019868878.04
España,915374535,1093297874,1135063165,1388273923,1354706474,1567002720.98,1825811423.48,2064842545.67,2767883608.77,1852418118.28,2241800597.61,3041932774.71,2514557423.2,1669472303.02,1693950935.88,1364070800.07,1647718588.9,1485678509.71,1593679273.4,1426669395.13,1102114178.66,1848774605.67,1735099835.49
China,796927268,1124174312,1093519211,2483056827,2627855639,3192647255.04,3475852591.52,5169816507.78,6354956741.33,3666460592.53,5798857972.81,6033117421.81,5068295629.06,5511587664.7,4459977676.38,5172217719.21,4433497800.73,4338719451.65,4223854406.77,6814084653.77,5237047104.91,6155976377.3,7928765039.88
Países Bajos,746205752,801553115,1037757861,1096731520,1242529901,1351982100.13,1444647727.24,1797425781.12,2961679063.23,2392142400.58,2369769934.04,2548736379.77,2204214624.96,1912957945.39,1574555521.81,1213575919.75,1182782189.09,1394020231.07,1717758880.08,1806271014.98,1591976865.13,2984597639.68,3566770755.45
Italia,734571084,853119050,851111114,930663308,947910764,983504121.75,1095553696.5,1387220953.36,1688005113.73,1501359668.62,1586014246.27,1979472331.27,1118830595.15,1080873264.6,1030939590.65,957063579.77,1006318619.69,1042625902.7,1090369101.89,1000380195.52,814874781.41,974029578.48,1064997131.29
Alemania,595469169,455497710,604886253,719297425,727317238,870993886.96,1124426407.4,1264813659.89,1507966543.0,1391484748.34,1832055667.99,2485979752.48,1970216475.07,1637227523.5,1536738696.86,1344333735.01,1271520126.47,1172398767.47,1054888129.28,938572466.82,722519302.37,810665236.96,887391021.61
Francia,531981694,257298371,312743951,329963656,294985343,380838183.99,553352550.95,605104404.7,913966452.35,446145823.41,527115477.46,575996097.32,413415921.09,431185007.4,320290442.0,365080719.11,367723297.9,298255130.56,406373566.2,346885846.47,360036980.39,431975052.39,477910621.15
India,437132686,435176485,444505904,558493095,567476858,739135838.35,908613316.55,868679626.55,829748793.59,648330829.98,1321491007.44,968772909.54,1186810267.01,1089096312.0,1810469123.58,2003199267.86,2202687501.91,2081099277.25,1600878754.14,2157110625.98,2507338516.37,4293273360.13,4542503306.4
Japón,379783229,350845698,369528917,347107701,362821466,304185189.31,398009350.3,686147550.84,519301263.96,493393382.25,853777849.48,842992617.45,1207486041.82,1391731303.99,748396340.5,572731847.37,657635828.24,638724061.98,486214469.54,452781758.63,317166956.27,721943983.15,794564190.92
Egipto,348917209,346945501,405342131,447086900,596907327,558803246.21,324130284.87,577471653.79,1075235421.73,591612721.37,979114722.21,1707410720.61,1013232674.08,1254550868.4,1051059716.05,1071884317.08,1791668832.18,1262592543.21,990710706.75,984659090.51,1171801865.65,1535629139.03,928195501.27
México,326354909,485188708,670361239,796309311,1035907729,1158662018.91,1519174805.16,1439485778.06,1336503508.44,935185967.25,1230645434.41,921285265.56,889136695.44,970251365.6,907503152.21,820451952.67,780489365.44,650148872.07,737209778.66,667479823.79,437808106.22,696174781.0,1116947033.21
Bélgica,311933831,290400343,250254607,232327491,248841392,261974974.84,298299529.95,408933455.28,543068398.61,456786751.65,348822476.93,465102302.0,448536625.13,300360984.9,300299052.65,332226400.84,387508684.62,414096102.56,382443132.47,405535075.6,250523188.68,419762151.97,492034394.52
