Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estados Unidos,4532136104,3539409306,1692126943,2118468526,3228351687,3820750633.87,4064359074.22,5037597862.03,6557143240.08,4892869922.03,5752661670.0,7347596033.64,7976981659.13001,7619557674.25,8662224132.77,7534020194.15,6642701709.42,7261107637.84999,7283722924.5,5869359411.23001,4119564398.35,5510550484.8,9588299707.86
Alemania,1205119873,1003030848,528552170,738337419,1051952647,1257464609.33,1488499611.64,2060381419.39,2449243397.3,1932507890.74,3108891079.15,3526382219.88,3588433267.88,3774228332.75,3419931046.69,3041101273.54,2970375241.58,3142180899.91,3253044067.98,2684272699.09,1917465688.76,2412853015.73,2587180462.95
China,1060222207,981892734,307985881,675861813,1298336613,2067310863.19,2911766981.4,4713492370.64,6601411733.96,4583975291.07,7131788039.35,10002686967.06,9411499919.07002,10797809870.1,10299304986.18,11349179604.97,10027478669.03,11677951668.25,11495399232.96,8822173775.94001,8238087908.09,12343324019.89,15855696384.33
Italia,962979760,798004804,297413163,425652468,597570405,718077209.6,874154113.069999,1029486772.66,1155362092.66,822638055.74,1253796284.24,1417705380.44,1393634762.76,1595480946.23,1578581156.49,1330031809.58,1394736758.05,1627128462.59,1511348579.25,1091935672.38,976034628.74,1257935684.56,1592344997.12
Japón,954821915,725160685,294373090,373429780,580733363,752711488.26,893175057.73,1147427999.15,1308408350.59,879120831.679999,1142793945.09,1356710250.54,1449309070.86,1476536658.57,1338598139.16,1183493608.69,926887468.63,1026702518.87,1048344707.77,870188508.34,703722168.26,1091126762.93,1131564188.45
Francia,925332469,690374085,247988930,303676895,559297455,555563881.43,875870447.88,1020853664.58,1432183074.67,775069323.4,1474806850.61,1462307593.43,1536828108.22,1675365821.33,1371938817.44,1407736727.14,1513593325.88,1305497541.74,1073369779.99,855474985.18,750162478.46,954363222.660001,1038561680.47
España,845995917,662943413,292172530,371171139,491461966,542771096.8,582833059.08,773596719.28,1007986545.56,757578383.98,978452918.080001,1324983585.56,1251757113.65,1297103493.81,1021561977.13,906715818.3,880409397.87,1377418194.88,1362393231.85,930095143.6,673867582.049999,1027710162.63,1176115195.6
Chile,571179200,472319317,164130571,272634868,381984324,519415305.47,571330356.28,673441101.34,906660665.52,624174435.38,831780319.77,1027635944.74,937758403.29,901933508.84,765801204.83,667651949.22,641595885.37,793194049.28,662519963.57,496093951.03,499016150.77,655682478.05,736422508.4
México,547884361,409716928,148582348,225942608,726568304,764882315.08,1072609052.54,1289930841.25,1521804198.35,1122305537.39,1747504671.84,2441850641.73,2161607481.75,2077073777.67,1584509745.26,1767920640.88,1731195061.56,2023273596.59,1821703368.0,1092811027.09,910204411.27,1342845381.93,1619421498.94
Reino Unido,426848672,388167134,186234573,205872496,298013674,305096359.26,372251358.12,427481891.01,525930174.94,362144886.89,469991689.01,640662298.6,590638760.97,560878990.46,526376715.01,541459295.01,456886941.1,485051968.53,553138869.16,566460388.29,407761911.69,518114045.16,623114639.21
Suecia,303233038,167171345,54143078,88684100,257522191,306534624.34,246642348.07,303579460.39,277994274.09,245436487.42,202750482.84,317794594.92,270113676.65,294624730.49,291942984.05,230009081.68,277767106.1,433367151.71,230174103.29,292988291.71,148341730.16,233273371.69,250483123.24
