"Category","Total"
Afganistán,6273.64
Albania,78772.36
Argelia,324888.39
Andorra,100526.95
Angola,490.7
Azerbaiján,66101.78
Australia,234584344.54
Austria,186099781.32
Bahamas,3827621.72
Bangladesh,5605468.59
Armenia,903.15
Bélgica,292641985.96
Bolivia,144362746.12
Bosnia y Herzegovina,105839.53
Belice,896.4
Brunei Darussalam,2805.49
Bulgaria,31642403.53
Myanmar,11335617.71
Bielorrusia,28994990.14
Camboya,5088216.47
Canadá,299255063.12
República Centroafricana,54781.29
Sri Lanka,9256584.93
Chad,43040.37
Chile,906660665.52
China,6601411733.96
Taiwán,381487688.87
Colombia,137550691.04
Comoras,8118.29
República del Congo,52204.72
República Democrática del Congo,1440.13
Costa Rica,16285831.24
Croacia,1437411.85
Cuba,2401185.08
Chipre,9494.68
República Checa,71752151.34
Dinamarca,138194137.67
Dominica,5522.74
República Dominicana,3165291.35
Ecuador,105487765.44
El Salvador,342698.71
Etiopía,10874.96
Estonia,984608.25
Finlandia,183553175.01
Francia,1432183074.67
Georgia,151848.72
Gambia,24.58
Alemania,2449243397.3
Ghana,397198.69
Gibraltar,25135.06
Kiribati,1
Grecia,7730569.51
Granada,66029.89
Guatemala,5088703.85
Haití,24193.19
Honduras,285454.37
Hong Kong,35835998.01
Hungría,51564012
Islandia,1601916.73
India,467076172.31
Indonesia,223060650.11
Irán, República Islámica del,7822774.47
Irlanda (Eire),109295612.01
Israel,144291941.49
Italia,1155362092.66
Costa de Marfil,2070587.12
Jamaica,11643.1
Japón,1308408350.59
Kazajistán,14052972.17
Jordania,179114.71
Kenia,467028.4
Corea (Sur), República de,683449484.54
Kuwait,4966.1
Kirguizistán,4981.51
Laos, República Popular Democrática de,194323.41
Líbano,402363.49
Letonia,178833242.39
Liberia,15492.64
Libia,15102958.3
Liechtenstein,1257506.69
Lituania,31682531.18
Luxemburgo,9363872.02
Macao,779576.17
Madagascar,270067.06
Malawi,931054.83
Malasia,378201411.13
Malí,345.72
Malta,2347951.2
Mauritania,109594.21
Mauricio,137571.99
México,1521804198.35
Mónaco,1357338.22
Mongolia,855.98
Moldavia,22764.78
Marruecos,75134953.7
Mozambique,1804780.8
Omán,1130
Namibia,2179.06
Nepal,60278.21
Países Bajos,241718740.65
Aruba,1514936.18
Nueva Zelanda,14836595.5
Nicaragua,38331.26
Níger,137.21
Nigeria,1347632.68
Noruega,58898331.99
Marianas del Norte, Islas,4859.88
Marshall, Islas,1850
Pakistán,50437168.25
Panamá,1556922.57
Papúa Nueva Guinea,2314.84
Perú,114526784.41
Filipinas,51268212.96
Polonia,119521720.89
Portugal,77043133.18
Puerto Rico,83537425.24
Qatar,4797064.77
Rumania,42668321.29
Rusia,688805886.17
San Cristóbal y Nieves,871009
Santa Lucía,84.48
San Marino,584160.75
Arabia Saudita,22541673.5
Senegal,5912680.19
Serbia,433945.37
Seychelles,36392.24
Sierra Leona,308080.7
Singapur,147545999.22
Eslovaquia,49545428.29
Vietnam,89861626.75
Eslovenia,10642450.64
Somalia,26880.98
Sudáfrica, República de,192377469.05
Zimbabwe,193558.2
España,1007986545.56
Suecia,277994274.09
Suiza,321993799.21
Siria, República Arabe de,621192.87
Tadjikistán,19.7
Tailandia,457809166.8
Trinidad y Tobago,259276587.58
Emiratos Arabes Unidos,4708709.9
Tunicia,30424925.12
Turquía,148220559.7
Uganda,167.32
Ucrania,81673879.93
Macedonia,2507607.5
Egipto,113186673.2
Reino Unido,525930174.94
Tanzania, República Unida de,2287
Estados Unidos,6557143240.08
Burkina Faso,2658.44
Venezuela,22827113.53
Zambia,132232.75
N/D,3401711690.34
